datetime,GOOG,cash,commission,total,returns,equity_curve,drawdown
1990-01-01,0.0,100000.0,0.0,100000.0,,,
2018-07-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-07-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-08-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-09-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-10-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-13,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-14,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-20,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-21,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-27,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-28,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-11-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-12-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-12-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-12-06,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2018-12-07,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
